name,price,color,size,photo
Бюстгальтер Victoria's Secret Double Shine Strap Push-Up Bra (26711578),2399,Черный,75C,https://cdn.kasta.ua/image/345/s3/supplier_provided_link/feed/1ee/37d/573/44e/b1e/77d/bf6/ca7/30e.jpeg
Безшовні стрінги Victoria's Secret No-Show Stripe Mesh Thong Panty (27067189),499,блакитний,M,https://cdn.kasta.ua/image/345/s3/supplier_provided_link/feed/c4f/61b/1f1/443/916/dfe/a9b/6e4/38d.jpeg
Трусики Victoria's Secret Lace Ultra-Mini Scoop Thong Panty (27119382),499,білий,S,https://cdn.kasta.ua/image/345/s3/supplier_provided_link/feed/0d1/016/884/4e8/8a3/b1c/e3e/c2c/d45.jpeg
Трусики стрінги Victoria's Secret Stretch Cotton Heart Lace High-Leg Scoop Thong Panty (27245134),499,рожевий,S,https://cdn.kasta.ua/image/345/s3/supplier_provided_link/feed/260/4d3/5a0/46d/85d/a0b/38d/9ac/810.jpeg
Бюстгальтер Victoria's Secret,2100,Коричневый,80E,https://cdn.kasta.ua/image/345/s3/supplier_provided_link/feed/1bd/6f3/16d/490/a6e/64b/675/6bb/d32.jpeg
Бюстгальтер Victoria's Secret Smooth Lace Inset Push-Up Bra (26985731),2399,леопардовый,80C,https://cdn.kasta.ua/image/345/s3/supplier_provided_link/feed/cf1/c1d/722/491/ac0/1ad/1f2/b82/727.jpeg
Трусики Victoria's Secret Floral Lace Bikini Panty (27110903),499,синій,L,https://cdn.kasta.ua/image/345/s3/supplier_provided_link/feed/897/cf8/e09/447/84f/7a6/9ef/bf2/923.jpeg
Безшовні трусики шортики Victoria's Secret No-Show Stripe Mesh Boyshort Panty (27067205),499,блакитний,S,https://cdn.kasta.ua/image/345/s3/supplier_provided_link/feed/5df/66d/ea5/487/bf1/5ab/a3b/e29/ce9.jpeg
Трусики Victoria's Secret Smooth & Lace Bikini Panty (27245089),499,пудра,S,https://cdn.kasta.ua/image/345/s3/supplier_provided_link/feed/65a/d30/42a/4d6/a01/4af/7f6/57c/63d.jpeg
Трусики стрінги Victoria's Secret Stretch Cotton High-Leg Scoop Thong Panty (27245187),499,леопардовый,XS,https://cdn.kasta.ua/image/345/s3/supplier_provided_link/feed/410/587/27c/4f0/b5d/3af/11b/1f5/154.jpeg
Бюстгальтер Victoria's Secret Double Shine Strap Push-Up Bra (26711578),2399,Черный,80B,https://cdn.kasta.ua/image/345/s3/supplier_provided_link/feed/1ee/37d/573/44e/b1e/77d/bf6/ca7/30e.jpeg
Трусики Victoria's Secret Lace Waist Bikini Panty (27110940),499,леопардовый,L,https://cdn.kasta.ua/image/345/s3/supplier_provided_link/feed/0ad/308/873/421/9cc/d43/89f/a1e/99c.jpeg
Трусики шортики Victoria's Secret Stretch Cotton Logo Shortie Panty (27245464),499,Черный,L,https://cdn.kasta.ua/image/345/s3/supplier_provided_link/feed/f4a/c0a/db0/45e/8a4/51d/a2f/47c/277.jpeg
Трусики стрінги Victoria's Secret Shine Strap Lace V-String Panty (26985794),650,зелений,S,https://cdn.kasta.ua/image/345/s3/supplier_provided_link/feed/861/f70/b28/46d/b7d/0c1/fcc/3b6/513.jpeg
Бюстгальтер Victoria's Secret Double Shine Strap Push-Up Bra (26711578),2399,Черный,85B,https://cdn.kasta.ua/image/345/s3/supplier_provided_link/feed/1ee/37d/573/44e/b1e/77d/bf6/ca7/30e.jpeg
Трусики шортики Victoria's Secret Stretch Cotton Shortie Panty (27245367),499,леопардовый,M,https://cdn.kasta.ua/image/345/s3/supplier_provided_link/feed/e5e/df4/c82/42f/9a7/ba4/dbe/e88/5ee.jpeg
